bus,car,location,motorbike,timestamp_utc,total_vehicles,traffic_status,truck
0,1,CMT8_PhamVanHai,4,2025-07-05T08:14:47.747972,5,1,0
0,1,CMT8_PhamVanHai,3,2025-07-05T08:15:03.308878,4,1,0
1,2,CMT8_PhamVanHai,2,2025-07-05T08:15:20.190683,5,2,0
0,2,CMT8_PhamVanHai,5,2025-07-05T08:15:35.811201,7,1,0
0,4,CMT8_PhamVanHai,4,2025-07-05T08:15:51.383366,8,2,0
0,2,CMT8_PhamVanHai,1,2025-07-05T08:16:09.102403,3,1,0
1,2,CMT8_PhamVanHai,1,2025-07-05T08:16:24.654803,6,2,2
0,3,CMT8_PhamVanHai,3,2025-07-05T08:16:40.174385,7,2,1
0,4,CMT8_PhamVanHai,2,2025-07-05T08:16:55.922396,6,1,0
0,2,CMT8_PhamVanHai,2,2025-07-05T08:17:11.545822,5,2,1
0,3,CMT8_PhamVanHai,5,2025-07-05T08:17:27.119740,8,2,0
0,1,CMT8_PhamVanHai,6,2025-07-05T08:17:42.675540,7,1,0
0,2,CMT8_PhamVanHai,5,2025-07-05T08:17:58.240163,9,2,2
0,0,CMT8_PhamVanHai,2,2025-07-05T08:18:13.874879,5,2,3
0,2,CMT8_PhamVanHai,1,2025-07-05T08:18:29.433184,3,1,0
0,3,CMT8_PhamVanHai,2,2025-07-05T08:18:44.986589,6,2,1
0,2,CMT8_PhamVanHai,2,2025-07-05T08:19:00.655733,5,2,1
0,0,CMT8_PhamVanHai,3,2025-07-05T08:19:16.499016,4,1,1
0,3,CMT8_PhamVanHai,1,2025-07-05T08:19:32.152278,6,2,2
0,3,CMT8_PhamVanHai,1,2025-07-05T08:19:47.705097,5,2,1
0,1,CMT8_PhamVanHai,6,2025-07-05T08:20:03.261905,7,1,0
0,3,CMT8_PhamVanHai,5,2025-07-05T08:20:18.838419,8,2,0
0,2,CMT8_PhamVanHai,3,2025-07-05T08:20:34.585578,5,1,0
0,5,CMT8_PhamVanHai,1,2025-07-05T08:20:50.356528,6,2,0
0,3,CMT8_PhamVanHai,9,2025-07-05T08:21:05.872005,12,2,0
0,5,CMT8_PhamVanHai,7,2025-07-05T08:21:21.407828,12,2,0
0,5,CMT8_PhamVanHai,10,2025-07-05T08:21:36.986603,15,2,0
0,2,CMT8_PhamVanHai,5,2025-07-05T08:21:52.513794,7,1,0
0,4,CMT8_PhamVanHai,10,2025-07-05T08:22:08.373510,14,2,0
0,6,CMT8_PhamVanHai,10,2025-07-05T08:22:23.919928,16,3,0
0,7,CMT8_PhamVanHai,5,2025-07-05T08:22:39.493765,12,2,0
0,4,CMT8_PhamVanHai,3,2025-07-05T08:22:55.116607,7,2,0
0,4,CMT8_PhamVanHai,7,2025-07-05T08:23:10.674058,11,2,0
0,4,CMT8_PhamVanHai,11,2025-07-05T08:23:26.310198,15,2,0
0,3,CMT8_PhamVanHai,11,2025-07-05T08:23:41.848037,14,2,0
0,3,CMT8_PhamVanHai,5,2025-07-05T08:23:57.583198,8,2,0
0,3,CMT8_PhamVanHai,11,2025-07-05T08:24:13.236652,14,2,0
0,3,CMT8_PhamVanHai,7,2025-07-05T08:24:28.797079,11,2,1
0,3,CMT8_PhamVanHai,6,2025-07-05T08:24:44.439498,10,2,1
0,2,CMT8_PhamVanHai,2,2025-07-05T08:24:59.994396,5,2,1
1,5,CMT8_PhamVanHai,2,2025-07-05T08:25:15.571364,8,2,0
0,4,CMT8_PhamVanHai,4,2025-07-05T08:25:31.182176,8,2,0
0,5,CMT8_PhamVanHai,4,2025-07-05T08:25:46.872016,9,2,0
0,5,CMT8_PhamVanHai,4,2025-07-05T08:26:02.553331,9,2,0
0,4,CMT8_PhamVanHai,0,2025-07-05T08:26:18.197093,4,1,0
0,4,CMT8_PhamVanHai,5,2025-07-05T08:26:33.741911,10,2,1
0,2,CMT8_PhamVanHai,5,2025-07-05T08:26:49.289161,8,2,1
0,4,CMT8_PhamVanHai,2,2025-07-05T08:27:04.848648,7,2,1
0,2,CMT8_PhamVanHai,10,2025-07-05T08:27:20.955596,14,3,2
0,5,CMT8_PhamVanHai,2,2025-07-05T08:27:36.589145,7,2,0
0,3,CMT8_PhamVanHai,7,2025-07-05T08:27:52.247268,11,2,1
0,2,CMT8_PhamVanHai,2,2025-07-05T08:28:09.042345,4,1,0
0,3,CMT8_PhamVanHai,4,2025-07-05T08:28:24.587681,8,2,1
0,4,CMT8_PhamVanHai,2,2025-07-05T08:28:40.954019,6,1,0
0,4,CMT8_PhamVanHai,5,2025-07-05T08:28:56.774870,9,2,0
0,7,CMT8_PhamVanHai,4,2025-07-05T08:29:12.387239,11,2,0
0,3,CMT8_PhamVanHai,6,2025-07-05T08:29:28.000355,9,2,0
0,4,CMT8_PhamVanHai,0,2025-07-05T08:29:43.616718,5,2,1
0,4,CMT8_PhamVanHai,3,2025-07-05T08:29:59.238848,7,2,0
0,2,CMT8_PhamVanHai,3,2025-07-05T08:30:15.921509,5,1,0
0,1,CMT8_PhamVanHai,3,2025-07-05T08:30:31.532987,4,1,0
0,1,CMT8_PhamVanHai,6,2025-07-05T08:30:47.735423,7,1,0
0,3,CMT8_PhamVanHai,4,2025-07-05T08:31:03.353833,8,2,1
0,4,CMT8_PhamVanHai,4,2025-07-05T08:31:19.033809,8,2,0
0,3,CMT8_PhamVanHai,4,2025-07-05T08:31:34.621469,8,2,1
0,6,CMT8_PhamVanHai,1,2025-07-05T08:31:50.201080,7,2,0
0,4,CMT8_PhamVanHai,5,2025-07-05T08:32:05.753084,9,2,0
0,3,CMT8_PhamVanHai,0,2025-07-05T08:32:21.434910,3,1,0
0,1,CMT8_PhamVanHai,3,2025-07-05T08:32:37.131929,4,1,0
1,1,CMT8_PhamVanHai,2,2025-07-05T08:32:52.685909,5,2,1
0,4,CMT8_PhamVanHai,2,2025-07-05T08:33:08.246408,6,1,0
0,3,CMT8_PhamVanHai,1,2025-07-05T08:33:24.001152,4,1,0
0,4,CMT8_PhamVanHai,4,2025-07-05T08:33:39.529986,10,3,2
0,2,CMT8_PhamVanHai,4,2025-07-05T08:33:55.404615,7,2,1
0,2,CMT8_PhamVanHai,2,2025-07-05T08:34:10.971265,5,2,1
0,2,CMT8_PhamVanHai,5,2025-07-05T08:34:26.595811,7,1,0
1,2,CMT8_PhamVanHai,2,2025-07-05T08:34:42.212067,5,2,0
0,1,CMT8_PhamVanHai,2,2025-07-05T08:34:57.794769,3,1,0
0,1,CMT8_PhamVanHai,0,2025-07-05T08:35:13.469763,1,1,0
0,5,CMT8_PhamVanHai,0,2025-07-05T08:35:30.335065,5,2,0
1,4,CMT8_PhamVanHai,2,2025-07-05T08:35:45.868703,8,2,1
0,5,CMT8_PhamVanHai,6,2025-07-05T08:36:01.531874,12,2,1
0,3,CMT8_PhamVanHai,7,2025-07-05T08:36:17.158682,10,2,0
0,2,CMT8_PhamVanHai,4,2025-07-05T08:36:32.853895,7,2,1
0,2,CMT8_PhamVanHai,4,2025-07-05T08:36:48.399712,8,2,2
0,2,CMT8_PhamVanHai,4,2025-07-05T08:37:03.926497,7,2,1
0,2,CMT8_PhamVanHai,1,2025-07-05T08:37:19.467525,4,1,1
0,4,CMT8_PhamVanHai,1,2025-07-05T08:37:35.155781,6,2,1
0,4,CMT8_PhamVanHai,2,2025-07-05T08:37:50.830131,7,2,1
0,2,CMT8_PhamVanHai,1,2025-07-05T08:38:06.381824,3,1,0
0,2,CMT8_PhamVanHai,6,2025-07-05T08:38:21.977257,8,1,0
0,2,CMT8_PhamVanHai,6,2025-07-05T08:38:37.649486,8,1,0
0,3,CMT8_PhamVanHai,4,2025-07-05T08:38:53.994893,7,1,0
0,3,CMT8_PhamVanHai,7,2025-07-05T08:39:10.291962,11,2,1
1,1,CMT8_PhamVanHai,4,2025-07-05T08:39:25.820081,7,2,1
0,3,CMT8_PhamVanHai,6,2025-07-05T08:39:41.448364,9,2,0
0,2,CMT8_PhamVanHai,3,2025-07-05T08:39:57.066012,6,2,1
0,4,CMT8_PhamVanHai,6,2025-07-05T08:40:12.626211,10,2,0
0,4,CMT8_PhamVanHai,6,2025-07-05T08:40:28.199432,10,2,0
0,3,CMT8_PhamVanHai,1,2025-07-05T08:40:43.797355,4,1,0
0,5,CMT8_PhamVanHai,2,2025-07-05T08:40:59.369029,8,2,1
0,3,CMT8_PhamVanHai,1,2025-07-05T08:41:15.003798,5,2,1
0,2,CMT8_PhamVanHai,4,2025-07-05T08:41:30.953200,8,2,2
0,3,CMT8_PhamVanHai,2,2025-07-05T08:41:46.577132,6,2,1
1,3,CMT8_PhamVanHai,2,2025-07-05T08:42:02.178843,7,2,1
0,3,CMT8_PhamVanHai,0,2025-07-05T08:42:17.762854,3,1,0
0,4,CMT8_PhamVanHai,3,2025-07-05T08:42:33.304549,7,2,0
0,4,CMT8_PhamVanHai,6,2025-07-05T08:42:49.155683,10,2,0
0,3,CMT8_PhamVanHai,9,2025-07-05T08:43:04.806649,12,2,0
0,2,CMT8_PhamVanHai,3,2025-07-05T08:43:20.424194,5,1,0
0,2,CMT8_PhamVanHai,4,2025-07-05T08:43:35.989891,8,2,2
0,2,CMT8_PhamVanHai,2,2025-07-05T08:43:51.565923,5,2,1
0,1,CMT8_PhamVanHai,5,2025-07-05T08:44:07.190535,6,1,0
0,6,CMT8_PhamVanHai,3,2025-07-05T08:44:22.762727,9,2,0
0,3,CMT8_PhamVanHai,7,2025-07-05T08:44:38.332461,10,2,0
0,7,CMT8_PhamVanHai,9,2025-07-05T08:44:53.979042,16,3,0
